Largest 100 Cities,State,Region,Jan-17,Jan-18,Jan-19,Jan-20,Jan-21,Jan-22,Per_YOY_2017,D_YOY_2017,Per_YOY_2018,D_YOY_2018,Per_YOY_2019,D_YOY_2019,Per_YOY_2020,D_YOY_2020,Per_YOY_2021,D_YOY_2021
ALBUQUERQUE, NM,West,$875,$990,$920,$925,"$1,038","$1,304",13%,115,-7%,-70,1%,5,12%,113,26%,266
ANAHEIM, CA,West,"$1,775","$1,895","$1,937","$2,008","$2,082","$2,535",7%,120,2%,42,4%,70.5,4%,74.5,22%,453
ANCHORAGE, AK,West,"$1,195","$1,250","$1,148","$1,100","$1,250","$1,260",5%,55,-8%,-102.5,-4%,-47.5,14%,150,1%,10
ARLINGTON, TX,South,$935,"$1,105","$1,150","$1,228","$1,200","$1,369",18%,170,4%,45,7%,78,-2%,-28,14%,169
ATLANTA, GA,South,"$1,384","$1,360","$1,475","$1,535","$1,623","$1,908",-2%,-24,8%,115,4%,60,6%,88,18%,285
AURORA, CO,West,"$1,340","$1,495","$1,450","$1,500","$1,514","$1,740",12%,155,-3%,-45,3%,50,1%,14,15%,226
AUSTIN, TX,South,"$1,356","$1,405","$1,310","$1,455","$1,485","$1,757",4%,49,-7%,-95,11%,145,2%,30,18%,272
BAKERSFIELD, CA,West,"$1,000","$1,100","$1,050","$1,095","$1,175","$1,400",10%,100,-5%,-50,4%,45,7%,80,19%,225
BALTIMORE, MD,South,"$1,335","$1,299","$1,416","$1,400","$1,500","$1,615",-3%,-36,9%,117,-1%,-16,7%,99.5,8%,115.5
BATON ROUGE, LA,South,"$1,090",$987,"$1,018","$1,000","$1,080","$1,145",-9%,-103,3%,31,-2%,-18,8%,80,6%,65
BOISE, ID,West,$950,"$1,063","$1,195","$1,342","$1,295","$1,721",12%,113,12%,132,12%,147,-4%,-47,33%,426
BOSTON, MA,Northeast,"$2,975","$2,800","$3,167","$2,975","$2,653","$3,075",-6%,-175,13%,367,-6%,-192,-11%,-322.5,16%,422.5
BUFFALO, NY,Northeast,$950,$850,$975,$975,"$1,100","$1,170",-11%,-100,15%,125,0%,0,13%,125,6%,70
CHANDLER, AZ,West,"$1,245","$1,330","$1,340","$1,630","$1,566","$1,898",7%,85,1%,10,22%,290,-4%,-64.5,21%,332.5
CHARLOTTE, NC,South,"$1,205","$1,225","$1,275","$1,425","$1,419","$1,670",2%,20,4%,50,12%,150,0%,-6,18%,251
CHESAPEAKE, VA,South,"$1,290","$1,326","$1,250","$1,475","$1,479","$1,629",3%,35.5,-6%,-75.5,18%,225,0%,3.5,10%,150
CHICAGO, IL,Midwest,"$1,666","$1,475","$1,805","$1,675","$1,628","$1,870",-11%,-191,22%,330,-7%,-130,-3%,-47,15%,242
CHULA VISTA, CA,West,"$1,795","$1,980","$2,050","$2,246","$2,175","$2,583",10%,185,4%,69.5,10%,196.5,-3%,-71,19%,408
CINCINNATI, OH,Midwest,$925,$924,$980,"$1,020","$1,169","$1,325",0%,-1,6%,56,4%,40,15%,149,13%,156
CLEVELAND, OH,Midwest,$875,$850,$985,$875,"$1,053","$1,300",-3%,-25,16%,135,-11%,-110,20%,177.5,24%,247.5
COLORADO SPRINGS, CO,West,"$1,100","$1,265","$1,300","$1,434","$1,480","$1,657",15%,165,3%,35,10%,134,3%,46,12%,177
