Largest 100 Cities,State,Region,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,44228,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Per_YOY_2017,D_YOY_2017,Per_YOY_2018,D_YOY_2018,Per_YOY_2019,D_YOY_2019,Per_YOY_2020,D_YOY_2020,Per_YOY_2021,D_YOY_2021
ALBUQUERQUE, NM,West,$875,$850,$840,$865,$881,$934,$919,$915,$959,$975,$987,$965,$990,$955,$900,$911,$900,$908,$900,$960,$925,$903,$962,$922,$920,$901,$850,$879,$874,$925,$939,$947,$930,$925,$959,$895,$925,$925,$893,$900,$895,$899,$850,$888,$875,$945,$999,$996,"$1,038","$1,025","$1,023","$1,011","$1,125","$1,181","$1,279","$1,289","$1,365","$1,395","$1,375","$1,335","$1,304",13%,115,-7%,-70,1%,5,12%,113,26%,266
ANAHEIM, CA,West,"$1,775","$1,750","$1,765","$1,759","$1,795","$1,810","$1,790","$1,795","$1,825","$1,835","$1,860","$1,862","$1,895","$1,850","$2,065","$2,120","$1,893","$1,901","$1,895","$1,962","$2,067","$2,079","$1,920","$1,955","$1,937","$1,985","$2,040","$2,015","$2,140","$2,211","$2,166","$1,990","$2,050","$1,965","$1,935","$1,970","$2,008","$2,120","$2,095","$2,066","$2,000","$1,990","$1,933","$1,995","$1,974","$2,020","$2,110","$2,070","$2,082","$2,100","$2,065","$2,067","$2,191","$2,220","$2,338","$2,380","$2,475","$2,500","$2,554","$2,596","$2,535",7%,120,2%,42,4%,70.5,4%,74.5,22%,453
ANCHORAGE, AK,West,"$1,195","$1,138","$1,090","$1,145","$1,125","$1,100","$1,095","$1,150","$1,135","$1,175","$1,200","$1,200","$1,250","$1,200","$1,100","$1,195","$1,150","$1,035","$1,040","$1,454","$1,285","$1,225","$1,200","$1,151","$1,148","$1,150","$1,200","$1,200","$1,151","$1,143","$1,160","$1,150","$1,100","$1,160","$1,120","$1,100","$1,100","$1,200","$1,238","$1,255","$1,250","$1,250","$1,250","$1,200","$1,200","$1,250","$1,300","$1,300","$1,250","$1,245","$1,200","$1,200","$1,200","$1,250","$1,280","$1,300","$1,335","$1,400","$1,315","$1,300","$1,260",5%,55,-8%,-102.5,-4%,-47.5,14%,150,1%,10
ARLINGTON, TX,South,$935,$905,$900,$909,$945,$960,$957,$965,$999,"$1,030","$1,025","$1,050","$1,105","$1,081","$1,031","$1,056","$1,060","$1,075","$1,075","$1,112","$1,097","$1,075","$1,150","$1,160","$1,150","$1,176","$1,075","$1,075","$1,054","$1,100","$1,196","$1,250","$1,299","$1,300","$1,200","$1,185","$1,228","$1,330","$1,270","$1,268","$1,230","$1,195","$1,225","$1,300","$1,300","$1,200","$1,192","$1,200","$1,200","$1,211","$1,217","$1,235","$1,249","$1,260","$1,295","$1,300","$1,325","$1,380","$1,400","$1,419","$1,369",18%,170,4%,45,7%,78,-2%,-28,14%,169
ATLANTA, GA,South,"$1,384","$1,275","$1,300","$1,380","$1,346","$1,370","$1,378","$1,383","$1,396","$1,375","$1,375","$1,380","$1,360","$1,393","$1,400","$1,425","$1,478","$1,497","$1,505","$1,475","$1,470","$1,476","$1,454","$1,458","$1,475","$1,490","$1,530","$1,559","$1,636","$1,665","$1,675","$1,595","$1,600","$1,595","$1,545","$1,529","$1,535","$1,575","$1,595","$1,595","$1,675","$1,730","$1,744","$1,766","$1,750","$1,680","$1,610","$1,615","$1,623","$1,650","$1,650","$1,681","$1,750","$1,795","$1,838","$1,881","$1,913","$1,924","$1,920","$1,909","$1,908",-2%,-24,8%,115,4%,60,6%,88,18%,285
AURORA, CO,West,"$1,340","$1,322","$1,345","$1,385","$1,375","$1,374","$1,400","$1,435","$1,435","$1,430","$1,425","$1,435","$1,495","$1,455","$1,410","$1,465","$1,495","$1,513","$1,525","$1,464","$1,444","$1,440","$1,416","$1,427","$1,450","$1,469","$1,463","$1,425","$1,475","$1,500","$1,501","$1,500","$1,495","$1,450","$1,495","$1,550","$1,500","$1,700","$1,553","$1,595","$1,560","$1,593","$1,650","$1,695","$1,700","$1,599","$1,519","$1,515","$1,514","$1,543","$1,530","$1,525","$1,568","$1,595","$1,665","$1,735","$1,735","$1,725","$1,715","$1,725","$1,740",12%,155,-3%,-45,3%,50,1%,14,15%,226
AUSTIN, TX,South,"$1,356","$1,337","$1,331","$1,359","$1,391","$1,419","$1,448","$1,450","$1,450","$1,435","$1,406","$1,395","$1,405","$1,395","$1,359","$1,395","$1,385","$1,395","$1,400","$1,415","$1,395","$1,389","$1,307","$1,293","$1,310","$1,335","$1,375","$1,400","$1,450","$1,475","$1,500","$1,480","$1,460","$1,470","$1,450","$1,448","$1,455","$1,495","$1,495","$1,495","$1,510","$1,525","$1,525","$1,518","$1,500","$1,495","$1,475","$1,475","$1,485","$1,488","$1,490","$1,500","$1,529","$1,575","$1,650","$1,695","$1,749","$1,765","$1,757","$1,750","$1,757",4%,49,-7%,-95,11%,145,2%,30,18%,272
BAKERSFIELD, CA,West,"$1,000","$1,000",$995,$995,"$1,008","$1,025","$1,000","$1,025","$1,045","$1,075","$1,095","$1,095","$1,100","$1,075","$1,051","$1,050","$1,068","$1,072",$995,"$1,050","$1,025","$1,095","$1,100","$1,100","$1,050","$1,000","$1,000","$1,043","$1,133","$1,150","$1,100","$1,095","$1,050","$1,099","$1,078","$1,050","$1,095","$1,095","$1,095","$1,078","$1,050","$1,050","$1,050","$1,138","$1,140","$1,150","$1,199","$1,175","$1,175","$1,150","$1,197","$1,160","$1,216","$1,195","$1,250","$1,250","$1,350","$1,395","$1,525","$1,603","$1,400",10%,100,-5%,-50,4%,45,7%,80,19%,225
BALTIMORE, MD,South,"$1,335","$1,300","$1,299","$1,320","$1,300","$1,300","$1,300","$1,300","$1,300","$1,300","$1,300","$1,300","$1,299","$1,300","$1,299","$1,299","$1,300","$1,300","$1,385","$1,400","$1,400","$1,450","$1,465","$1,495","$1,416","$1,435","$1,400","$1,405","$1,500","$1,501","$1,466","$1,400","$1,450","$1,420","$1,400","$1,400","$1,400","$1,395","$1,350","$1,400","$1,410","$1,500","$1,450","$1,500","$1,499","$1,470","$1,493","$1,475","$1,500","$1,475","$1,475","$1,495","$1,550","$1,549","$1,543","$1,595","$1,600","$1,601","$1,633","$1,637","$1,615",-3%,-36,9%,117,-1%,-16,7%,99.5,8%,115.5
BATON ROUGE, LA,South,"$1,090","$1,072","$1,106","$1,115",$980,$995,$975,$963,$976,$966,$975,$975,$987,$962,$950,$975,"$1,000","$1,020","$1,100","$1,064","$1,050","$1,019","$1,050","$1,025","$1,018",$999,$970,"$1,000","$1,015","$1,003","$1,070","$1,029","$1,000","$1,000",$975,$995,"$1,000","$1,000","$1,010","$1,000","$1,030","$1,000","$1,000","$1,015","$1,000",$975,$999,"$1,000","$1,080","$1,075","$1,050","$1,049","$1,075","$1,099","$1,149","$1,149","$1,150","$1,150","$1,200","$1,195","$1,145",-9%,-103,3%,31,-2%,-18,8%,80,6%,65
